SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA
ACICLOVIR,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520715030093606,1037006100011,7896112128762,    -     ,    -     ,ACICLOVIR,200 MG COM CT BL AL PLAS INC X 25,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,132.57,132.57,150.65,159.72,159.72,160.69,160.69,161.67,161.67,165.71,183.27,208.26,220.8,220.8,222.14,222.14,223.5,223.5,229.08,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528523301164111,1256801110029,7898148299324,    -     ,    -     ,ACICLOVIR,50MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP),D6D1 - ANTIVIRAIS TÓPICOS,Genérico,Regulado,1123.66,1258.5,1454.31,1555.16,1353.81,1566.03,1362.01,1577.04,1370.32,1622.7,,,,,,,,,,Sim,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
ACICLOVIR,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510420060181807,1542303000042,7899095243927,    -     ,    -     ,ACICLOVIR,200 MG COM CT BL AL PLAS PVC/PVDC TRANS X 30,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,159.1,159.1,180.8,191.69,191.69,192.85,192.85,194.02,194.02,198.88,219.95,249.95,265.0,265.0,266.6,266.6,268.22,268.22,274.94,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511500102111111,1004703290043,7897595603494,    -     ,    -     ,ACICLOVIR,400 MG COM CT BL AL PLAS PP/PVC OPC X 30 ,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,146.54,146.54,166.52,176.55,176.55,177.62,177.62,178.71,178.71,183.18,202.58,230.2,244.07,244.07,245.55,245.55,247.06,247.06,253.24,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528520060173307,1256801630049,7898148298396,    -     ,    -     ,ACICLOVIR,200 MG COM CT BL AL PLAS TRANS X 450,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,686.83,686.83,780.49,827.51,827.51,832.52,832.52,837.6,837.6,858.54,949.5,1078.98,1143.98,1143.98,1150.91,1150.91,1157.93,1157.93,1186.88,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,73.663.650/0001-90,RANBAXY FARMACÊUTICA LTDA,529900204117112,1235200570049,7897076907431,    -     ,    -     ,ACICLOVIR,400 MG COM CT BL AL PLAS TRANS X 25,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,108.61,108.61,123.42,130.86,130.86,131.65,131.65,132.45,132.45,135.76,150.15,170.62,180.91,180.91,182.0,182.0,183.1,183.1,187.68,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,73.663.650/0001-90,RANBAXY FARMACÊUTICA LTDA,529918110060506,1235200570073,7897076921826,    -     ,    -     ,ACICLOVIR,400 MG COM CT BL AL PLAS TRANS X 30,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,143.39,143.39,162.94,172.76,172.76,173.81,173.81,174.87,174.87,179.24,198.23,225.25,238.83,238.83,240.28,240.28,241.75,241.75,247.79,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR SÓDICO,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520715030093706,1037006100044,7896112166399,    -     ,    -     ,ACICLOVIR,250 MG PO LIOF SOL INJ IV CX 50 FA VD AMB X 20 ML (EMB HOSP),J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,3294.75,3294.75,3744.04,3969.58,3969.58,3993.64,3993.64,4017.99,4017.99,4118.44,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533019020068606,1049714160065,7896006202875,    -     ,    -     ,ACICLOVIR,200 MG COM CT BL AL PLAS TRANS X 30,J5B3 - ANTIVIRAIS PARA HERPES,Similar,Regulado,159.1,159.1,180.8,191.69,191.69,192.85,192.85,194.02,194.02,198.88,219.95,249.95,265.0,265.0,266.6,266.6,268.22,268.22,274.94,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ÁCIDO ZOLEDRÔNICO MONOIDRATADO,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504415050052806,1163701290031,7896014663521,    -     ,    -     ,ACIDO ZOLEDRONICO,4 MG SOL INJ IV CT 10 FA VD TRANS X 5 ML,M5B4 - BISFOSFONATOS PARA ALTERAÇÕES DO CÁCIO RELACIONADAS A TUMORES,Genérico,Regulado,9674.91,9674.91,,,,,,,,,,,,,,,,,,Sim,Não,Não,Sim,,Positiva,Sim,Tarja Vermelha
ÁCIDO ZOLEDRÔNICO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506715090058806,1029804150013,7896676420388,    -     ,    -     ,ACIDO ZOLEDRONICO,4 MG PO LIOF SOL INJ IV CX FA VD AMB X 5 ML,M5B4 - BISFOSFONATOS PARA ALTERAÇÕES DO CÁCIO RELACIONADAS A TUMORES,Genérico,Regulado,383.7,383.7,,,,,,,,,,,,,,,,,,Sim,Não,Não,Sim,,Positiva,Sim,Tarja Vermelha
ÁCIDO ZOLEDRÔNICO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526526701159419,1006810260012,7896261010451,    -     ,    -     ,ACLASTA,"0,05 MG/ML SOL INFUS IV CT FA PLAS POC TRANS X 100 ML",M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS,Novo,Regulado,1988.72,1988.72,,,,,,,,,2749.29,,,,,,,,,Não,Não,Não,Sim,,Positiva,Sim,Tarja Vermelha
TOCILIZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529220090026707,1010006550056,7896226505893,    -     ,    -     ,ACTEMRA,20 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 20 ML ,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,2969.17,2969.17,3374.06,3577.31,3577.31,3598.99,3598.99,3620.94,3620.94,3711.46,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
TOCILIZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529208501150212,1010006550013,7896226505855,    -     ,    -     ,ACTEMRA,20 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,593.82,593.82,674.8,715.45,715.45,719.78,719.78,724.17,724.17,742.28,,,,,,,,,,Sim,Sim,Não,Não,,Positiva,Sim,Tarja Vermelha
TOCILIZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529208502157210,1010006550031,7896226505879,    -     ,    -     ,ACTEMRA,20 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML ,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,1484.58,1484.58,1687.02,1788.65,1788.65,1799.49,1799.49,1810.46,1810.46,1855.73,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ALTEPLASE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504512030018303,1036700490031,7896026305389,    -     ,    -     ,ACTILYSE,20 MG PO LIOF SOL INJ  CT  FA VD TRANS + FA DIL 20 ML + CANUL TRANS,B1D - FIBRINOLÍTICOS,Novo,Regulado,892.05,892.05,,,,,,,,,,,,,,,,,,Sim,Não,Não,Sim,,Positiva,Sim,Tarja Vermelha
ALTEPLASE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504512030018403,1036700490018,7896026305372,    -     ,    -     ,ACTILYSE,10 MG PO LIOF SOL INJ  CT  FA VD TRANS + FA DIL 10 ML,B1D - FIBRINOLÍTICOS,Novo,Regulado,446.02,446.02,,,,,,,,,,,,,,,,,,Sim,Não,Não,Sim,,Positiva,Sim,Tarja Vermelha
ALTEPLASE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504500101153319,1036700490023,7896026301633,    -     ,    -     ,ACTILYSE,50 MG PO LIOF SOL INJ  CT  FA VD TRANS + FA DIL 50 ML + CANUL TRANS,B1D - FIBRINOLÍTICOS,Novo,Regulado,2230.13,2230.13,,,,,,,,,,,,,,,,,,Sim,Não,Não,Sim,,Positiva,Sim,Tarja Vermelha
RISEDRONATO SÓDICO,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720090088817,1832604170046,7891058016159,    -     ,    -     ,ACTONEL,35 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 4,M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS,Novo,Regulado,126.92,126.92,144.23,152.92,152.92,153.84,153.84,154.78,154.78,158.65,175.46,199.39,211.4,211.4,212.67,212.67,213.97,213.97,219.32,Não,Não,Sim,Não,,Positiva,Sim,Tarja Vermelha
RISEDRONATO SÓDICO,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720090088917,1832604170011,7891058004217,    -     ,    -     ,ACTONEL,150 MG COM REV CT BL AL PVC TRANS X 1,M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS,Novo,Regulado,121.96,121.96,138.59,146.94,146.94,147.83,147.83,148.73,148.73,152.45,168.6,191.59,203.14,203.14,204.37,204.37,205.61,205.61,210.75,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
RISEDRONATO SÓDICO,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502813060065205,1130002690202,7891058016159,    -     ,    -     ,ACTONEL,35 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 4,M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS,Novo,Regulado,126.92,126.92,144.23,152.92,152.92,153.84,153.84,154.78,154.78,158.65,175.46,199.39,211.4,211.4,212.67,212.67,213.97,213.97,219.32,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
RISEDRONATO SÓDICO,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502800105115312,1130002690172,7891058004217,    -     ,    -     ,ACTONEL,150 MG COM REV CT BL AL PVC TRANS X 1,M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS,Novo,Regulado,121.96,121.96,138.59,146.94,146.94,147.83,147.83,148.73,148.73,152.45,168.6,191.59,203.14,203.14,204.37,204.37,205.61,205.61,210.75,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
PALMITATO DE RETINOL;ÓXIDO DE ZINCO;COLECALCIFEROL,43.640.754/0001-19,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP,510012050010503,1103900220044,7895005801317,    -     ,    -     ,AD FURP,POM DERM CX 50 BG AL X 25 G (EMB HOSP),D3A9 - TODOS OUTROS PRODUTOS PARA TRATAMENTO DE FERIDAS,Específico,Liberado,177.66,198.98,,,,,,,,,266.92,,,,,,,,,Não,Não,Não,Sim,,Negativa,Sim,Tarja Vermelha
BRENTUXIMABE VEDOTINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501115010024502,1063902690012,7896641810275,    -     ,    -     ,ADCETRIS,50 MG PO LIOF INJ CX 1 FA VD TRANS,"L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS",Biológico,Regulado,13440.64,15053.52,17395.67,18602.06,16193.54,18731.98,16291.69,18863.73,16391.03,19409.87,,,,,,,,,,Sim,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
COLECALCIFEROL,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540917070032503,1781700280126,7897322709482,    -     ,    -     ,ADDERA D3,7000 UI COM REV BL AL PLAS TRANS X 30,A11C2 - VITAMINA D PURA,Específico,Regulado,189.87,212.66,245.75,262.79,228.76,264.63,230.15,266.49,231.55,274.2,285.28,328.27,350.28,316.25,352.65,318.17,355.05,320.1,364.97,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
COLECALCIFEROL,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540919060040003,1781700280509,7896094918061,    -     ,    -     ,ADDERA D3,50000 UI COM REV CT BL AL PLAS TRANS X 6,A11C2 - VITAMINA D PURA,Específico,Regulado,271.27,303.82,351.09,375.44,326.83,378.06,328.81,380.72,330.81,391.74,407.56,468.98,500.43,451.82,503.81,454.56,507.24,457.33,521.42,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
COLECALCIFEROL,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540919060039103,1781700280401,7897322709741,    -     ,    -     ,ADDERA D3,7000 UI CAP MOLE CT BL AL PLAS OPC X 30,A11C2 - VITAMINA D PURA,Específico,Regulado,189.87,212.66,245.75,262.79,228.76,264.63,230.15,266.49,231.55,274.2,285.28,328.27,350.28,316.25,352.65,318.17,355.05,320.1,364.97,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
COLECALCIFEROL,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540917080033003,1781700280371,7897322709970,    -     ,    -     ,ADDERA D3,5000 UI CAP MOLE CT BL AL PLAS OPC X 30,A11C2 - VITAMINA D PURA,Específico,Regulado,135.62,151.89,175.52,187.69,163.39,189.01,164.38,190.34,165.39,195.85,203.76,234.46,250.18,225.88,251.88,227.25,253.59,228.64,260.68,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
